timestamp,rocket_x,rocket_y,rocket_ay,rocket_z,rocket_vx,rocket_vy,rocket_vz,rocket_ax,rocket_az,rocket_theta,rocket_phi,rocket_wy,rocket_psi,rocket_wx,rocket_wz,rocket_alphx,rocket_alphy,rocket_alphz,course_deviation,simSpeed,systemTime
205.000000,0.000000,0.097500,4.999973,0.000005,-0.000024,0.974998,-0.004182,-0.000405,-0.049129,0.000000,0.000068,-0.000000,-0.000000,0.001066,-0.000006,0.012558,-0.000000,-0.000103,0.000005,1.250000,26973.000000,
210.000000,0.000000,0.102500,4.999974,0.000005,-0.000026,0.999998,-0.004427,-0.000405,-0.049105,0.000000,0.000073,-0.000000,-0.000000,0.001129,-0.000007,0.012558,-0.000000,-0.000103,0.000005,1.250000,26977.000000,
215.000000,0.000000,0.107625,4.999970,0.000006,-0.000028,1.024998,-0.004691,-0.000458,-0.052682,0.000000,0.000079,-0.000000,-0.000000,0.001196,-0.000007,0.013474,-0.000000,-0.000117,0.000006,1.000000,26983.000000,
220.000000,0.000000,0.112875,4.999970,0.000006,-0.000030,1.049998,-0.004954,-0.000458,-0.052655,0.000000,0.000086,-0.000000,-0.000000,0.001264,-0.000008,0.013474,-0.000000,-0.000117,0.000006,1.250000,26987.000000,
225.000000,0.000000,0.118250,4.999966,0.000007,-0.000033,1.074998,-0.005236,-0.000516,-0.056319,0.000000,0.000092,-0.000000,-0.000000,0.001336,-0.000008,0.014413,-0.000000,-0.000132,0.000007,1.250000,26992.000000,
230.000000,0.000000,0.123750,4.999967,0.000007,-0.000035,1.099998,-0.005517,-0.000516,-0.056288,0.000000,0.000099,-0.000000,-0.000000,0.001408,-0.000009,0.014413,-0.000000,-0.000132,0.000007,1.000000,26997.000000,
235.000000,0.000000,0.129375,4.999962,0.000008,-0.000038,1.124998,-0.005817,-0.000578,-0.060036,0.000000,0.000107,-0.000000,-0.000001,0.001485,-0.000010,0.015374,-0.000000,-0.000147,0.000008,1.000000,27002.000000,
240.000000,0.000000,0.135125,4.999963,0.000009,-0.000041,1.149997,-0.006117,-0.000578,-0.060002,0.000000,0.000115,-0.000000,-0.000001,0.001562,-0.000010,0.015375,-0.000000,-0.000148,0.000009,1.250000,27007.000000,
245.000000,0.000000,0.141000,4.999958,0.000009,-0.000044,1.174997,-0.006436,-0.000646,-0.063830,0.000000,0.000123,-0.000000,-0.000001,0.001643,-0.000011,0.016357,-0.000000,-0.000165,0.000009,1.000000,27012.000000,
250.000000,0.000000,0.147000,4.999960,0.000010,-0.000048,1.199997,-0.006755,-0.000645,-0.063792,0.000000,0.000131,-0.000000,-0.000001,0.001725,-0.000012,0.016357,-0.000000,-0.000165,0.000010,1.000000,27018.000000,
255.000000,0.000000,0.153125,4.999954,0.000011,-0.000051,1.224997,-0.007094,-0.000718,-0.067696,0.000000,0.000140,-0.000000,-0.000001,0.001812,-0.000013,0.017360,-0.000000,-0.000183,0.000011,1.250000,27022.000000,
260.000000,0.000000,0.159375,4.999956,0.000012,-0.000055,1.249996,-0.007432,-0.000718,-0.067654,0.000000,0.000150,-0.000000,-0.000001,0.001899,-0.000014,0.017360,-0.000000,-0.000183,0.000012,1.000000,27028.000000,
265.000000,0.000000,0.165750,4.999957,0.000013,-0.000058,1.274996,-0.007770,-0.000718,-0.067611,0.000000,0.000160,-0.000000,-0.000001,0.001986,-0.000015,0.017361,-0.000000,-0.000183,0.000013,0.833333,27034.000000,
270.000000,0.000000,0.172250,4.999948,0.000013,-0.000063,1.299996,-0.008138,-0.000839,-0.073654,0.000000,0.000170,-0.000000,-0.000001,0.002080,-0.000016,0.018909,-0.000000,-0.000214,0.000013,1.250000,27038.000000,
275.000000,0.000000,0.178875,4.999950,0.000014,-0.000067,1.324996,-0.008506,-0.000839,-0.073606,0.000000,0.000181,-0.000000,-0.000001,0.002175,-0.000017,0.018909,-0.000000,-0.000214,0.000014,1.250000,27042.000000,
280.000000,0.000000,0.185625,4.999944,0.000015,-0.000071,1.349995,-0.008895,-0.000926,-0.077684,0.000000,0.000193,-0.000000,-0.000001,0.002274,-0.000018,0.019959,-0.000000,-0.000236,0.000015,1.000000,27048.000000,
285.000000,0.000000,0.192500,4.999946,0.000017,-0.000076,1.374995,-0.009283,-0.000925,-0.077631,0.000000,0.000204,-0.000000,-0.000001,0.002374,-0.000019,0.019960,-0.000000,-0.000236,0.000017,1.250000,27053.000000,
290.000000,0.000000,0.199500,4.999940,0.000018,-0.000081,1.399995,-0.009692,-0.001018,-0.081767,0.000000,0.000217,-0.000000,-0.000001,0.002479,-0.000021,0.021025,-0.000000,-0.000260,0.000018,1.250000,27057.000000,
