timestamp,rocket_x,rocket_y,rocket_z,rocket_vx,rocket_vy,rocket_vz,rocket_ax,rocket_ay,rocket_az,rocket_theta,rocket_phi,rocket_wy,rocket_psi,rocket_wx,rocket_wz,rocket_alphx,rocket_alphy,rocket_alphz,course_deviation,simSpeed,systemTime
180.000000,0.000000,0.074375,0.000000,-0.000000,0.850000,-0.000163,-0.000001,5.000000,-0.001695,0.000000,0.000003,-0.000000,-0.000000,0.000042,-0.000000,0.000434,-0.000000,-0.000000,0.000000,1.250000,107278.000000,
185.000000,0.000000,0.078750,0.000000,-0.000000,0.875000,-0.000172,-0.000001,5.000000,-0.001802,0.000000,0.000003,-0.000000,-0.000000,0.000044,-0.000000,0.000461,-0.000000,-0.000000,0.000000,1.250000,107283.000000,
190.000000,0.000000,0.083250,0.000000,-0.000000,0.900000,-0.000181,-0.000001,5.000000,-0.001801,0.000000,0.000003,-0.000000,-0.000000,0.000046,-0.000000,0.000461,-0.000000,-0.000000,0.000000,1.250000,107288.000000,
195.000000,0.000000,0.087875,0.000000,-0.000000,0.925000,-0.000191,-0.000001,5.000000,-0.001910,0.000000,0.000003,-0.000000,-0.000000,0.000049,-0.000000,0.000489,-0.000000,-0.000000,0.000000,0.714286,107295.000000,
200.000000,0.000000,0.092625,0.000000,-0.000000,0.950000,-0.000200,-0.000001,5.000000,-0.001909,0.000000,0.000004,-0.000000,-0.000000,0.000051,-0.000000,0.000489,-0.000000,-0.000000,0.000000,1.000000,107300.000000,
205.000000,0.000000,0.097500,0.000000,-0.000000,0.975000,-0.000210,-0.000001,5.000000,-0.002021,0.000000,0.000004,-0.000000,-0.000000,0.000054,-0.000000,0.000518,-0.000000,-0.000000,0.000000,1.000000,107305.000000,
210.000000,0.000000,0.102500,0.000000,-0.000000,1.000000,-0.000220,-0.000001,5.000000,-0.002020,0.000000,0.000004,-0.000000,-0.000000,0.000056,-0.000000,0.000518,-0.000000,-0.000000,0.000000,1.250000,107310.000000,
215.000000,0.000000,0.107625,0.000000,-0.000000,1.025000,-0.000231,-0.000001,5.000000,-0.002134,0.000000,0.000005,-0.000000,-0.000000,0.000059,-0.000000,0.000547,-0.000000,-0.000000,0.000000,1.250000,107315.000000,
220.000000,0.000000,0.112875,0.000000,-0.000000,1.050000,-0.000242,-0.000001,5.000000,-0.002132,0.000000,0.000005,-0.000000,-0.000000,0.000062,-0.000000,0.000547,-0.000000,-0.000000,0.000000,1.250000,107319.000000,
225.000000,0.000000,0.118250,0.000000,-0.000000,1.075000,-0.000253,-0.000001,5.000000,-0.002249,0.000000,0.000005,-0.000000,-0.000000,0.000065,-0.000000,0.000577,-0.000000,-0.000000,0.000000,1.000000,107325.000000,
230.000000,0.000000,0.123750,0.000000,-0.000000,1.100000,-0.000264,-0.000002,5.000000,-0.002247,0.000000,0.000006,-0.000000,-0.000000,0.000068,-0.000000,0.000577,-0.000000,-0.000000,0.000000,1.250000,107330.000000,
235.000000,0.000000,0.129375,0.000000,-0.000000,1.125000,-0.000276,-0.000002,5.000000,-0.002366,0.000000,0.000006,-0.000000,-0.000000,0.000071,-0.000000,0.000608,-0.000000,-0.000000,0.000000,1.250000,107334.000000,
240.000000,0.000000,0.135125,0.000000,-0.000000,1.150000,-0.000288,-0.000002,5.000000,-0.002365,0.000000,0.000006,-0.000000,-0.000000,0.000074,-0.000000,0.000608,-0.000000,-0.000000,0.000000,1.000000,107339.000000,
245.000000,0.000000,0.141000,0.000001,-0.000000,1.175000,-0.000300,-0.000002,5.000000,-0.002486,0.000000,0.000007,-0.000000,-0.000000,0.000077,-0.000000,0.000639,-0.000000,-0.000000,0.000001,1.250000,107344.000000,
